S#,Week_Day,Month,Day,Year,Prime_Minister,Time,Location,City,Province,No_of_Strike,Al_Qaeda,Taliban,Civilians,Total_Died,Women/Children,Longitude,Latitude
277,Tuesday,11,15,2011,Asif Ali Zardari,,Miranshah Bazar,North Waziristan,FATA,1,,,7,7,,70.1455,32.9746
278,Wednesday,11,16,2011,Asif Ali Zardari,,Baber Ghar area,South Waziristan,FATA,1,,,18,18,,69.9,33.0333
279,Thursday,11,17,2011,Asif Ali Zardari,,Ramzak area,North Waziristan,FATA,1,,,9,9,,70.1455,32.9746
280,Tuesday,1,10,2012,Asif Ali Zardari,,Miranshah,North Waziristan,FATA,1,,,4,4,N,70.1455,32.9746
281,Thursday,1,12,2012,Asif Ali Zardari,19:00,Dogga village- Datta khel tehsil- 45 km west of miranshah,North Waziristan,FATA,1,,,,6,N,70.1455,32.9746
282,Monday,1,23,2012,Asif Ali Zardari,,Muhammad khel village,North Waziristan,FATA,1,,,2,2,N,70.1455,32.9746
283,Monday,1,23,2012,Asif Ali Zardari,,Deegan village,North Waziristan,FATA,1,,,3,3,N,70.1455,32.9746
284,Wednesday,2,8,2012,Asif Ali Zardari,7:00,Tappi- 10KM southeast of Miranshah,North Waziristan,FATA,1,,,10,10,N,70.1455,32.9746
285,Thursday,2,9,2012,Asif Ali Zardari,6:30,Miranshah,North Waziristan,FATA,1,4,,4,4,N,70.1455,32.9746
286,Thursday,2,16,2012,Asif Ali Zardari,6:30,Spagla Town Near Miranshah,North Waziristan,FATA,1,,,5,5,N,70.1455,32.9746
287,Thursday,2,16,2012,Asif Ali Zardari,6:45,Spagla Town Near Miranshah,North Waziristan,FATA,1,,,7,15,N,70.1455,32.9746
288,Tuesday,3,13,2012,Asif Ali Zardari,7:15,Birmal area of South Waziristan,South Waziristan,FATA,1,0,8,,8,N,69.9,33.0333
289,Tuesday,3,13,2012,Asif Ali Zardari,,Surra Khawra area of Shawal South Waziristan,South Waziristan,FATA,1,0,7,,,N,69.9,33.0333
290,Friday,3,9,2012,Asif Ali Zardari,,Mandao area on the boarder od North and South Waziristan,South Waziristan,FATA,3,1,12,,13,N,69.9,33.0333
291,Friday,3,30,2012,Asif Ali Zardari,3:00,Market in Miranshah North Waziristan,North Waziristan,FATA,3,0,0,4,4,N,70.1455,32.9746
292,Sunday,4,29,2012,Asif Ali Zardari,,Miranshah,North Waziristan,FATA,1,0,0,0,4,N,70.1455,32.9746
293,Saturday,5,5,2012,Asif Ali Zardari,,Shawal area- 70km west of Miranshah,North Waziristan,FATA,1,0,0,0,10,Y,70.1455,32.9746
294,Wednesday,5,23,2012,Asif Ali Zardari,,Miranshah,North Waziristan,FATA,2,0,0,5,5,N,70.1455,32.9746
295,Thursday,5,24,2012,Asif Ali Zardari,5:30,Mir Ali,North Waziristan,FATA,1,0,0,10,10,N,70.1455,32.9746
296,Saturday,5,26,2012,Asif Ali Zardari,4:00,Miranshah,North Waziristan,FATA,2,0,0,4,4,N,70.1455,32.9746
297,Monday,5,28,2012,Asif Ali Zardari,9:00,HassoKhel Town- 25km East of Miranshah,North Waziristan,FATA,1,0,0,8,8,N,70.1455,32.9746
298,Monday,5,28,2012,Asif Ali Zardari,,Datta Khel District- 30km West of Miranshah,North Waziristan,FATA,2,0,0,4,4,N,70.1455,32.9746
299,Saturday,6,2,2012,Asif Ali Zardari,8:30,Khawashikhel Village- 5km West of Wana,South Waziristan,FATA,1,0,3,0,3,N,69.9,33.0333
300,Sunday,6,3,2012,Asif Ali Zardari,,Wacha Dana- 10km West of Wana,South Waziristan,FATA,1,0,11,0,11,N,69.9,33.0333
301,Monday,6,4,2012,Asif Ali Zardari,3:30,Heshokhel Village- 3km East of Mirali,North Waziristan,FATA,1,1,0,14,15,N,70.1455,32.9746
302,Wednesday,6,13,2012,Asif Ali Zardari,,Isha Village- 10km East of Miranshah,North Waziristan,FATA,1,0,0,4,4,N,70.1455,32.9746
303,Thursday,6,14,2012,Asif Ali Zardari,3:15,Miranshah Bazaar,North Waziristan,FATA,2,0,0,4,4,N,70.1455,32.9746
304,Tuesday,6,26,2012,Asif Ali Zardari,2:00,Shawal Area- 50km Southwest of Miranshah,North Waziristan,FATA,1,0,5,0,5,N,70.1455,32.9746
305,Sunday,7,1,2012,Asif Ali Zardari,,Shawal District- 50km Southwest of Miranshah,North Waziristan,FATA,1,0,8,0,8,N,70.1455,32.9746
306,Friday,7,6,2012,Asif Ali Zardari,20:45,Zoi Nari- Tehsil Dattakhel,North Waziristan,FATA,6,0,0,17,17,N,70.1455,32.9746
307,Friday,7,6,2012,Asif Ali Zardari,22:30,Zoi Nari- Tehsil Dattakhel,North Waziristan,FATA,1,0,0,18,18,N,70.1455,32.9746
308,Monday,7,23,2012,Asif Ali Zardari,23:00,Dray Nashtar Village- 65km West of Miranshah,North Waziristan,FATA,8,0,0,12,12,N,70.1455,32.9746
309,Sunday,7,29,2012,Asif Ali Zardari,18:30,Khushali Turkhel Village- 35km East of Miranshah,North Waziristan,FATA,6,0,0,0,7,N,70.1455,32.9746
310,Saturday,8,18,2012,Asif Ali Zardari,13:30,Shuwedar Village,North Waziristan,FATA,2,0,6,6,12,N,70.1455,32.9746
311,Sunday,8,19,2012,Asif Ali Zardari,6:45,Mana- Shawal Area,North Waziristan,FATA,1,0,0,7,7,N,70.1455,32.9746
312,Sunday,8,19,2012,Asif Ali Zardari,,Mana- Shawal Area,North Waziristan,FATA,1,0,0,3,3,N,70.1455,32.9746
313,Tuesday,8,21,2012,Asif Ali Zardari,,Shna Khora- 5km West of Miranshah,North Waziristan,FATA,1,0,0,6,6,N,70.1455,32.9746
314,Friday,8,24,2012,Asif Ali Zardari,,Makki Gharr- Shawal Area,North Waziristan,FATA,1,0,6,0,6,N,70.1455,32.9746
315,Friday,8,24,2012,Asif Ali Zardari,,Tonda Darra- Shawal Area,North Waziristan,FATA,1,0,6,0,6,N,70.1455,32.9746
316,Friday,8,24,2012,Asif Ali Zardari,,Darra Nishtar- Shawal Area,North Waziristan,FATA,1,0,8,0,8,N,70.1455,32.9746
317,Saturday,9,1,2012,Asif Ali Zardari,9:00,Degan Area- Datta Khel,North Waziristan,FATA,4,0,0,6,6,N,70.1455,32.9746
318,Saturday,9,22,2012,Asif Ali Zardari,,Datta Khel,North Waziristan,FATA,1,0,0,4,4,N,70.1455,32.9746
319,Monday,9,24,2012,Asif Ali Zardari,,Kaderkhail Village- 40km East of Miranshah,North Waziristan,FATA,2,0,0,6,6,N,70.1455,32.9746
320,Monday,10,1,2012,Asif Ali Zardari,,Khaiderkhel Area- 30 km East of Miranshah,North Waziristan,FATA,4,0,0,3,3,N,70.1455,32.9746
321,Wednesday,10,10,2012,Asif Ali Zardari,4:00,Hurmaz village of Mir ali Tehsil,North Waziristan,FATA,4,0,0,5,5,N,70.1455,32.9746
322,Thursday,10,11,2012,Asif Ali Zardari,16:40,Bulandkhel Area- Orakzai,North Waziristan,FATA,4,0,0,18,18,N,70.1455,32.9746
323,Wednesday,10,24,2012,Asif Ali Zardari,,Tappi Area- 20 km East of Miranshah,North Waziristan,FATA,2,0,0,5,5,Y,70.1455,32.9746
324,Thursday,11,29,2012,Asif Ali Zardari,12:00,Sheen Warak Area- Wana,North Waziristan,FATA,1,0,0,4,4,N,70.1455,32.9746
325,Saturday,12,1,2012,Asif Ali Zardari,,Sheen Warsask Area,South Waziristan,FATA,3,0,0,3,4,N,69.9,33.0333
326,Thursday,12,6,2012,Asif Ali Zardari,7:45,Mubarak Shah Village- Mir Ali,North Waziristan,FATA,2,0,0,4,4,N,70.1455,32.9746
327,Sunday,12,9,2012,Asif Ali Zardari,,Tabbi Village- Miranshah,North Waziristan,FATA,4,1,0,3,4,N,70.1455,32.9746
328,Friday,12,21,2012,Asif Ali Zardari,12:15,Hisukhel Area of Mir Ali,North Waziristan,FATA,2,0,0,4,4,N,70.1455,32.9746
329,Friday,12,28,2012,Asif Ali Zardari,,Gurbuz- 65km West of Miranshah,North Waziristan,FATA,8,0,0,7,7,N,70.1455,32.9746
330,Wednesday,1,2,2013,Asif Ali Zardari,22:00,Sara Kanda area of Birmal tehsil,South Waziristan,FATA,1,0,17,0,17,N,69.9,33.0333
331,Sunday,1,6,2013,Asif Ali Zardari,,Babar Ghar Village,South Waziristan,FATA,1,0,17,0,17,N,69.9,33.0333
332,Tuesday,1,8,2013,Asif Ali Zardari,,Haider Khel Village- 25km East of Miranshah,North Waziristan,FATA,8,0,0,8,8,N,70.1455,32.9746
333,Tuesday,1,8,2013,Asif Ali Zardari,,Haso Khel village,North Waziristan,FATA,4,0,0,4,4,N,70.1455,32.9746
334,Thursday,1,10,2013,Asif Ali Zardari,,Heso Khel village- 35km East of Miranshah,North Waziristan,FATA,4,0,0,6,6,N,70.1455,32.9746
335,Wednesday,2,6,2013,Asif Ali Zardari,,Ghulam Khan Tehsil,North Waziristan,FATA,4,0,0,5,5,N,70.1455,32.9746
336,Friday,2,8,2013,Asif Ali Zardari,,Bobar Gar area- 50km south of Miranshah,North Waziristan,FATA,2,2,9,0,9,N,70.1455,32.9746
337,Thursday,3,21,2013,Asif Ali Zardari,23:30,Datta Khel tehsil- 35 kilometres west of Miransha,North Waziristan,FATA,1,0,0,4,4,N,70.1455,32.9746
338,Sunday,4,14,2013,Asif Ali Zardari,18:30,Datta Khel Tehsil- 50 Kilometres west of Miranshah,North Waziristan,FATA,2,0,0,4,4,N,70.1455,32.9746
339,Wednesday,4,17,2013,Asif Ali Zardari,,Baber Ghar Area of South Waziristan,South Waziristan,FATA,2,0,5,0,5,N,69.9,33.0333
340,Wednesday,5,29,2013,Asif Ali Zardari,,Chashma village- 3km east of Miranshah,North Waziristan,FATA,2,0,7,0,7,N,70.1455,32.9746
341,Tuesday,7,2,2013,Nawaz Sharif,2:30,Sarai Darpa Khel area,North Waziristan,FATA,4,0,17,0,17,N,70.1455,32.9746
342,Saturday,7,13,2013,Nawaz Sharif,23:30,Mir Ali Tehsil,North Waziristan,FATA,2,0,0,0,2,N,70.1455,32.9746
343,Friday,9,6,2013,Nawaz Sharif,6:45,Ghulam Khan Area,North Waziristan,FATA,2,3,3,0,7,N,70.1455,32.9746
344,Sunday,9,22,2013,Nawaz Sharif,12:45,Shawal Town of North Waziristan,North Waziristan,FATA,4,0,0,7,7,N,70.1455,32.9746
345,Sunday,9,29,2013,Nawaz Sharif,,Dargamandi area- seven km north of Miranshah,North Waziristan,FATA,2,0,0,6,6,N,70.1455,32.9746
346,Sunday,10,27,2013,Nawaz Sharif,1:00,Zafar Town area near Miramshah Bazar,North Waziristan,FATA,1,0,0,3,3,N,70.1455,32.9746
347,Tuesday,10,29,2013,Nawaz Sharif,1:30,Dandey Darpakhel Area- five kilometres (three miles) north of Miranshah,North Waziristan,FATA,1,0,5,0,5,N,70.1455,32.9746
348,Thursday,11,21,2013,Nawaz Sharif,,Tehsil Tal's main Tal bazaar,Hangu,KPK,4,0,0,2,8,N,71.06,33.53
349,Thursday,11,28,2013,Nawaz Sharif,,Chashma area of Miranshah,North Waziristan,FATA,2,0,3,0,3,N,70.1455,32.9746
350,Saturday,12,14,2013,Nawaz Sharif,,Mach Magai area of Loe Suleman,Khyber Agency,FATA,1,0,0,6,6,N,71.1481,34.0983
351,Wednesday,12,25,2013,Nawaz Sharif,2:00,Qutub Khel village- 5km  east of miranshah,North Waziristan,FATA,2,0,0,4,4,N,70.1455,32.9746
352,Wednesday,6,11,2014,Nawaz Sharif,2:30,Dargah Mandi village 10 kilometres (six miles) west of the main town of Miramshah,North Waziristan,FATA,8,0,16,0,16,N,70.1455,32.9746
353,Wednesday,6,18,2014,Nawaz Sharif,5:30,Dargah Mandi village 10 kilometres (six miles) west of the main town of Miramshah,North Waziristan,FATA,6,0,0,6,6,N,70.1455,32.9746
354,Thursday,7,10,2014,Nawaz Sharif,5:00,Datta Khel is about 50 kilometers (30 miles) west of Miran Shah,North Waziristan,FATA,2,0,6,0,6,N,70.1455,32.9746
355,Wednesday,7,16,2014,Nawaz Sharif,,Datta Khel is about 50 kilometers (30 miles) west of Miran Shah,North Waziristan,FATA,4,0,20,0,20,N,70.1455,32.9746
356,Saturday,7,19,2014,Nawaz Sharif,23:45,Datta Khel is about 50 kilometers (30 miles) west of Miran Shah,North Waziristan,FATA,1,0,15,0,15,N,70.1455,32.9746
357,Wednesday,8,6,2014,Nawaz Sharif,,Datta Khel is about 50 kilometers (30 miles) west of Miran Shah,North Waziristan,FATA,1,0,0,0,6,N,70.1455,32.9746
358,Wednesday,9,24,2014,Nawaz Sharif,4:45,Lorha Mandi area of Datta Khel tehsil- 65 kilometres west of Miramshah,North Waziristan,FATA,4,0,10,0,10,N,70.1455,32.9746
359,Sunday,9,28,2014,Nawaz Sharif,12:00,Karikot Karezai Pal- Wana,South Waziristan,FATA,1,0,4,0,4,N,69.9,33.0333
360,Sunday,10,5,2014,Nawaz Sharif,17:50,Kand Ghar area of Shawal district,South Waziristan,FATA,4,0,5,0,5,N,69.9,33.0333
361,Monday,10,6,2014,Nawaz Sharif,17:45,Bari Mail area of Shawal district,South Waziristan,FATA,1,0,8,0,8,N,69.9,33.0333
362,Tuesday,10,7,2014,Nawaz Sharif,,Kandghar area of Shawal,North Waziristan,FATA,2,0,7,0,7,N,70.1455,32.9746
363,Tuesday,10,7,2014,Nawaz Sharif,12:30,Datta Khel area,North Waziristan,FATA,3,0,4,0,8,N,70.1455,32.9746
364,Tuesday,10,7,2014,Nawaz Sharif,18:30,A house in the Datta Khel area,North Waziristan,FATA,1,0,0,4,4,N,70.1455,32.9746
365,Thursday,10,9,2014,Nawaz Sharif,,Loman area of Dattakhel Tehsil,North Waziristan,FATA,1,0,0,3,4,N,70.1455,32.9746
366,Thursday,10,30,2014,Nawaz Sharif,,Nargas- a village some 30 kilometres west of Wana- the main town in the South Waziristan agency,South Waziristan,FATA,1,0,7,0,7,N,69.9,33.0333
367,Tuesday,11,11,2014,Nawaz Sharif,,Doa Toi area of Datakhel tehsil in North Waziristan Agency,North Waziristan,FATA,1,0,6,0,6,N,70.1455,32.9746
368,Thursday,11,20,2014,Nawaz Sharif,,Dattakhel,North Waziristan,FATA,2,,6,-6,5,Y,70.1455,32.9746
369,Friday,11,21,2014,Nawaz Sharif,,N/A,North Waziristan,FATA,1,,5,-5,9,N,70.1455,32.9746
370,Wednesday,11,26,2014,Nawaz Sharif,,Kundghar,North Waziristan,FATA,2,,4,-4,6,N,70.1455,32.9746
371,Wednesday,12,3,2014,Nawaz Sharif,,Dattakhel,North Waziristan,FATA,1,,3,3,9,N,70.1455,32.9746
372,Sunday,12,7,2014,Nawaz Sharif,6:00,Kher Tangi,North Waziristan,FATA,1,,,0,18,N,70.1455,32.9746
373,Saturday,12,20,2014,Nawaz Sharif,,Dattakhel,North Waziristan,FATA,2,,,0,6,N,70.1455,32.9746
374,Friday,12,26,2014,Nawaz Sharif,,Dattakhel,North Waziristan,FATA,1,,,0,6,N,70.1455,32.9746
375,Friday,12,26,2014,Nawaz Sharif,,Shawal Valley,North Waziristan,FATA,1,,5,-1,39,N,70.1455,32.9746
376,Saturday,1,3,2015,Nawaz Sharif,,Shawal valley,North Waziristan,FATA,1,,,,8,N,70.1455,32.9746
377,Thursday,1,15,2015,Nawaz Sharif,,Acha Dara areaÂ ,North Waziristan,FATA,1,,6,,6,,70.1455,32.9746
378,Thursday,1,15,2015,Nawaz Sharif,2:00,Wacha Dhara area- Spilgai- border of SWA and NWA,South Waziristan,FATA,1,,,7,7,,69.9,33.0333
379,Monday,1,19,2015,Nawaz Sharif,,Shawal Valley,North Waziristan,FATA,2,,,,6,,70.1455,32.9746
380,Wednesday,1,28,2015,Nawaz Sharif,,Shawal Valley,North Waziristan,FATA,2,,,,7,,70.1455,32.9746
381,Tuesday,3,24,2015,Nawaz Sharif,,Nazyan district of Afghanistan's Nangarhar province,Khyber Agency,FATA,2,,9,,9,N,71.1481,34.0983
382,Wednesday,3,18,2015,Nawaz Sharif,,Shabak Kurram tribal agency-adjacent to North Waziristan,North Waziristan,FATA,1,,3,,3,N,70.1455,32.9746
383,Sunday,4,12,2015,Nawaz Sharif,,Shawwal,North Waziristan,FATA,2,4,,,4,N,70.1455,32.9746
384,Saturday,5,16,2015,Nawaz Sharif,,Warokey Mandi area Shawal district,North Waziristan,FATA,2,,,,6,N,70.1455,32.9746
385,Monday,5,18,2015,Nawaz Sharif,,Zoey Narey Shawal Valley,North Waziristan,FATA,2,,,,6,N,70.1455,32.9746
386,Monday,5,18,2015,Nawaz Sharif,,Datta Khel,North Waziristan,FATA,2,,,,6,N,70.1455,32.9746
387,Thursday,5,21,2015,Nawaz Sharif,,Datta Khel- Shawal Valley,North Waziristan,FATA,1,,,,16,N,70.1455,32.9746
388,Monday,6,1,2015,Nawaz Sharif,,Shawal area,North Waziristan,FATA,2,,,,4,N,70.1455,32.9746
389,Saturday,6,6,2015,Nawaz Sharif,,Shawal Valley,North Waziristan,FATA,1,,9,,9,N,70.1455,32.9746
390,Thursday,8,6,2015,Nawaz Sharif,,Datta Khel,North Waziristan,FATA,1,,5,,5,N,32.90517,69.7488
391,Tuesday,9,1,2015,Nawaz Sharif,,Shawal Valley/Datta Khel(Karwanda /Lawra Mandi area),North Waziristan,FATA,1,,,,5,N,32.84444,69.83056
392,Monday,9,7,2015,Nawaz Sharif,,Shawal Valley,North Waziristan,FATA,1,,,,3,N,32.84444,69.83056
393,Friday,9,18,2015,Nawaz Sharif,,Shonkrai Narai area,North Waziristan,FATA,2,,,7,7,N,32.32024,69.85974
394,Friday,9,18,2015,Nawaz Sharif,,Shawal region,North Waziristan,FATA,1,,19,,19,N,32.84444,69.83056
395,Saturday,1,9,2016,Nawaz Sharif,,Mangroti area,North Waziristan,FATA,1,,,,5,N,32.32024,69.85974
396,Friday,1,22,2016,Nawaz Sharif,,Kurram Agency,North Waziristan,FATA,4,,,,3,N,33.69598,70.33607
397,Saturday,5,21,2016,Nawaz Sharif,15:45,Kuchaki,Dalbandin,Balochistan,1,0,1,1,2,N,28.89618,64.39922
398,Thursday,3,2,2017,Nawaz Sharif,16:00,"Sara Khwa, Kurram Agency",North Waziristan,FATA,1,0,2,0,2,N,32.29381,70.105
400,Wednesday,4,26,2017,Nawaz Sharif,12:30,Lawara Mandi area,North Waziristan,FATA,2,,7,3,10,,33.14536,70.02923
401,Wednesday,5,24,2017,Nawaz Sharif,12:00,"Garvik area, Shawal Tehsil",North Waziristan,FATA,1,,,,3,N,32.70619,69.41578
402,Monday,6,12,2017,Nawaz Sharif,21:00,Spin Thal,Hangu,KPK,1,,,0,2,N,33.35869,70.54072
403,Monday,7,3,2017,Nawaz Sharif,,,South Waziristan,FATA,2,,,0,4,N,32.12082,69.58999
404,Friday,9,15,2017,Nawaz Sharif,,Ghuz Ghari,Kurram Agency,FATA,2,,,0,3,N,33.73217,70.15076
405,Monday,10,16,2017,Nawaz Sharif,,Zero-point,Kurram Agency,FATA,4,,5,,26,N,,
